buyer_id,buyer_name,email,phone,country,registration_date,prime_user,gender
1,Buyer_1,user1@example.com,918746000000,India,2021-01-01 00:00:00,No,F
2,Buyer_2,user2@example.com,916478000000,Germany,2021-01-01 01:00:00,No,M
3,Buyer_3,user3@example.com,916107000000,UK,2021-01-01 02:00:00,No,F
4,Buyer_4,user4@example.com,919185000000,India,2021-01-01 03:00:00,No,F
5,Buyer_5,user5@example.com,917181000000,UK,2021-01-01 04:00:00,No,M
6,Buyer_6,user6@example.com,917052000000,USA,2021-01-01 05:00:00,No,F
7,Buyer_7,user7@example.com,916959000000,UK,2021-01-01 06:00:00,Yes,F
8,Buyer_8,user8@example.com,916599000000,UK,2021-01-01 07:00:00,No,F
9,Buyer_9,user9@example.com,919163000000,USA,2021-01-01 08:00:00,No,F
10,Buyer_10,user10@example.com,916440000000,USA,2021-01-01 09:00:00,No,M
11,Buyer_11,user11@example.com,918906000000,India,2021-01-01 10:00:00,No,M
12,Buyer_12,user12@example.com,919181000000,UK,2021-01-01 11:00:00,No,M
13,Buyer_13,user13@example.com,919832000000,Germany,2021-01-01 12:00:00,No,M
14,Buyer_14,user14@example.com,918342000000,USA,2021-01-01 13:00:00,Yes,M
15,Buyer_15,user15@example.com,916373000000,UK,2021-01-01 14:00:00,No,F
16,Buyer_16,user16@example.com,918536000000,India,2021-01-01 15:00:00,No,M
17,Buyer_17,user17@example.com,917812000000,Canada,2021-01-01 16:00:00,Yes,M
18,Buyer_18,user18@example.com,916137000000,USA,2021-01-01 17:00:00,Yes,M
19,Buyer_19,user19@example.com,916128000000,UK,2021-01-01 18:00:00,Yes,F
20,Buyer_20,user20@example.com,916402000000,USA,2021-01-01 19:00:00,No,F
21,Buyer_21,user21@example.com,916939000000,India,2021-01-01 20:00:00,No,M
22,Buyer_22,user22@example.com,916999000000,Canada,2021-01-01 21:00:00,No,M
23,Buyer_23,user23@example.com,918170000000,Canada,2021-01-01 22:00:00,Yes,M
24,Buyer_24,user24@example.com,918586000000,UK,2021-01-01 23:00:00,No,M
25,Buyer_25,user25@example.com,916114000000,Canada,2021-01-02 00:00:00,Yes,F
26,Buyer_26,user26@example.com,918411000000,Germany,2021-01-02 01:00:00,No,M
27,Buyer_27,user27@example.com,916854000000,UK,2021-01-02 02:00:00,No,F
28,Buyer_28,user28@example.com,919075000000,USA,2021-01-02 03:00:00,No,F
29,Buyer_29,user29@example.com,918791000000,UK,2021-01-02 04:00:00,Yes,M
30,Buyer_30,user30@example.com,919012000000,Germany,2021-01-02 05:00:00,No,F
31,Buyer_31,user31@example.com,918341000000,USA,2021-01-02 06:00:00,No,M
32,Buyer_32,user32@example.com,917802000000,India,2021-01-02 07:00:00,Yes,F
33,Buyer_33,user33@example.com,916947000000,USA,2021-01-02 08:00:00,No,M
34,Buyer_34,user34@example.com,917929000000,UK,2021-01-02 09:00:00,Yes,M
35,Buyer_35,user35@example.com,918531000000,Canada,2021-01-02 10:00:00,No,M
36,Buyer_36,user36@example.com,917195000000,India,2021-01-02 11:00:00,Yes,M
37,Buyer_37,user37@example.com,919476000000,Canada,2021-01-02 12:00:00,Yes,M
38,Buyer_38,user38@example.com,919734000000,Canada,2021-01-02 13:00:00,Yes,F
39,Buyer_39,user39@example.com,916028000000,Canada,2021-01-02 14:00:00,No,M
40,Buyer_40,user40@example.com,919259000000,India,2021-01-02 15:00:00,Yes,F
41,Buyer_41,user41@example.com,919461000000,UK,2021-01-02 16:00:00,No,F
42,Buyer_42,user42@example.com,916686000000,USA,2021-01-02 17:00:00,Yes,F
43,Buyer_43,user43@example.com,918998000000,Canada,2021-01-02 18:00:00,No,M
44,Buyer_44,user44@example.com,917815000000,USA,2021-01-02 19:00:00,No,F
45,Buyer_45,user45@example.com,917461000000,UK,2021-01-02 20:00:00,Yes,M
46,Buyer_46,user46@example.com,917193000000,India,2021-01-02 21:00:00,No,F
47,Buyer_47,user47@example.com,916668000000,USA,2021-01-02 22:00:00,Yes,M
48,Buyer_48,user48@example.com,916925000000,UK,2021-01-02 23:00:00,Yes,F
49,Buyer_49,user49@example.com,919279000000,USA,2021-01-03 00:00:00,No,M
50,Buyer_50,user50@example.com,917446000000,Germany,2021-01-03 01:00:00,No,F
51,Buyer_51,user51@example.com,916439000000,UK,2021-01-03 02:00:00,No,M
52,Buyer_52,user52@example.com,916398000000,UK,2021-01-03 03:00:00,No,M
53,Buyer_53,user53@example.com,917632000000,UK,2021-01-03 04:00:00,No,M
54,Buyer_54,user54@example.com,916415000000,Germany,2021-01-03 05:00:00,No,M
55,Buyer_55,user55@example.com,917542000000,India,2021-01-03 06:00:00,Yes,M
56,Buyer_56,user56@example.com,919640000000,Canada,2021-01-03 07:00:00,No,M
57,Buyer_57,user57@example.com,917477000000,Germany,2021-01-03 08:00:00,Yes,F
58,Buyer_58,user58@example.com,918593000000,USA,2021-01-03 09:00:00,Yes,M
59,Buyer_59,user59@example.com,917136000000,India,2021-01-03 10:00:00,No,F
60,Buyer_60,user60@example.com,919467000000,UK,2021-01-03 11:00:00,No,M
61,Buyer_61,user61@example.com,916187000000,USA,2021-01-03 12:00:00,No,M
62,Buyer_62,user62@example.com,919134000000,USA,2021-01-03 13:00:00,No,M
63,Buyer_63,user63@example.com,917973000000,Canada,2021-01-03 14:00:00,Yes,M
64,Buyer_64,user64@example.com,918303000000,Canada,2021-01-03 15:00:00,Yes,F
65,Buyer_65,user65@example.com,916536000000,Canada,2021-01-03 16:00:00,No,M
66,Buyer_66,user66@example.com,919961000000,India,2021-01-03 17:00:00,No,M
67,Buyer_67,user67@example.com,917626000000,Germany,2021-01-03 18:00:00,Yes,F
68,Buyer_68,user68@example.com,916338000000,Canada,2021-01-03 19:00:00,Yes,M
69,Buyer_69,user69@example.com,918371000000,Germany,2021-01-03 20:00:00,No,F
70,Buyer_70,user70@example.com,917259000000,India,2021-01-03 21:00:00,Yes,F
71,Buyer_71,user71@example.com,919562000000,UK,2021-01-03 22:00:00,Yes,F
72,Buyer_72,user72@example.com,918700000000,USA,2021-01-03 23:00:00,Yes,M
73,Buyer_73,user73@example.com,918657000000,UK,2021-01-04 00:00:00,No,M
74,Buyer_74,user74@example.com,919803000000,India,2021-01-04 01:00:00,Yes,F
75,Buyer_75,user75@example.com,919701000000,Canada,2021-01-04 02:00:00,No,F
76,Buyer_76,user76@example.com,917553000000,Germany,2021-01-04 03:00:00,Yes,F
77,Buyer_77,user77@example.com,918480000000,India,2021-01-04 04:00:00,Yes,M
78,Buyer_78,user78@example.com,916826000000,Canada,2021-01-04 05:00:00,Yes,F
79,Buyer_79,user79@example.com,919026000000,Canada,2021-01-04 06:00:00,No,M
80,Buyer_80,user80@example.com,916299000000,UK,2021-01-04 07:00:00,Yes,M
81,Buyer_81,user81@example.com,916197000000,Germany,2021-01-04 08:00:00,Yes,F
82,Buyer_82,user82@example.com,918840000000,USA,2021-01-04 09:00:00,Yes,M
83,Buyer_83,user83@example.com,916979000000,Canada,2021-01-04 10:00:00,No,M
84,Buyer_84,user84@example.com,919320000000,India,2021-01-04 11:00:00,No,F
85,Buyer_85,user85@example.com,917243000000,India,2021-01-04 12:00:00,Yes,F
86,Buyer_86,user86@example.com,916343000000,India,2021-01-04 13:00:00,No,F
87,Buyer_87,user87@example.com,919674000000,Canada,2021-01-04 14:00:00,Yes,M
88,Buyer_88,user88@example.com,917000000000,India,2021-01-04 15:00:00,Yes,F
89,Buyer_89,user89@example.com,919722000000,UK,2021-01-04 16:00:00,No,F
90,Buyer_90,user90@example.com,916434000000,UK,2021-01-04 17:00:00,No,F
91,Buyer_91,user91@example.com,917633000000,Canada,2021-01-04 18:00:00,No,M
92,Buyer_92,user92@example.com,917194000000,USA,2021-01-04 19:00:00,No,M
93,Buyer_93,user93@example.com,917947000000,USA,2021-01-04 20:00:00,Yes,M
94,Buyer_94,user94@example.com,918730000000,USA,2021-01-04 21:00:00,Yes,F
95,Buyer_95,user95@example.com,919582000000,Canada,2021-01-04 22:00:00,Yes,F
96,Buyer_96,user96@example.com,917567000000,Germany,2021-01-04 23:00:00,No,M
97,Buyer_97,user97@example.com,916699000000,Germany,2021-01-05 00:00:00,Yes,F
98,Buyer_98,user98@example.com,917590000000,USA,2021-01-05 01:00:00,No,F
99,Buyer_99,user99@example.com,917526000000,USA,2021-01-05 02:00:00,No,F
100,Buyer_100,user100@example.com,916900000000,India,2021-01-05 03:00:00,Yes,M
101,Buyer_101,user101@example.com,918878000000,USA,2021-01-05 04:00:00,No,M
102,Buyer_102,user102@example.com,917147000000,Germany,2021-01-05 05:00:00,Yes,F
103,Buyer_103,user103@example.com,919014000000,UK,2021-01-05 06:00:00,No,M
104,Buyer_104,user104@example.com,918936000000,India,2021-01-05 07:00:00,No,M
105,Buyer_105,user105@example.com,918783000000,India,2021-01-05 08:00:00,Yes,F
106,Buyer_106,user106@example.com,916307000000,UK,2021-01-05 09:00:00,No,M
107,Buyer_107,user107@example.com,918616000000,UK,2021-01-05 10:00:00,Yes,F
108,Buyer_108,user108@example.com,918727000000,UK,2021-01-05 11:00:00,Yes,M
109,Buyer_109,user109@example.com,916735000000,Canada,2021-01-05 12:00:00,Yes,F
110,Buyer_110,user110@example.com,918294000000,USA,2021-01-05 13:00:00,No,F
111,Buyer_111,user111@example.com,919132000000,USA,2021-01-05 14:00:00,Yes,F
112,Buyer_112,user112@example.com,917051000000,USA,2021-01-05 15:00:00,No,F
113,Buyer_113,user113@example.com,916702000000,India,2021-01-05 16:00:00,Yes,F
114,Buyer_114,user114@example.com,917985000000,India,2021-01-05 17:00:00,No,F
115,Buyer_115,user115@example.com,917630000000,Germany,2021-01-05 18:00:00,Yes,F
116,Buyer_116,user116@example.com,917159000000,Canada,2021-01-05 19:00:00,Yes,M
117,Buyer_117,user117@example.com,919975000000,Germany,2021-01-05 20:00:00,No,M
118,Buyer_118,user118@example.com,918749000000,India,2021-01-05 21:00:00,No,M
119,Buyer_119,user119@example.com,918956000000,Canada,2021-01-05 22:00:00,Yes,F
120,Buyer_120,user120@example.com,918392000000,USA,2021-01-05 23:00:00,Yes,F
121,Buyer_121,user121@example.com,916943000000,India,2021-01-06 00:00:00,No,M
122,Buyer_122,user122@example.com,918940000000,USA,2021-01-06 01:00:00,Yes,M
123,Buyer_123,user123@example.com,917393000000,USA,2021-01-06 02:00:00,No,M
124,Buyer_124,user124@example.com,919620000000,UK,2021-01-06 03:00:00,Yes,M
125,Buyer_125,user125@example.com,919300000000,Germany,2021-01-06 04:00:00,No,F
126,Buyer_126,user126@example.com,919333000000,USA,2021-01-06 05:00:00,No,F
127,Buyer_127,user127@example.com,916240000000,Canada,2021-01-06 06:00:00,No,M
128,Buyer_128,user128@example.com,916984000000,India,2021-01-06 07:00:00,No,M
129,Buyer_129,user129@example.com,919530000000,UK,2021-01-06 08:00:00,Yes,F
130,Buyer_130,user130@example.com,916138000000,UK,2021-01-06 09:00:00,Yes,M
131,Buyer_131,user131@example.com,919458000000,Germany,2021-01-06 10:00:00,No,M
132,Buyer_132,user132@example.com,917355000000,USA,2021-01-06 11:00:00,No,M
133,Buyer_133,user133@example.com,917723000000,UK,2021-01-06 12:00:00,No,M
134,Buyer_134,user134@example.com,917150000000,Canada,2021-01-06 13:00:00,No,F
135,Buyer_135,user135@example.com,916284000000,India,2021-01-06 14:00:00,No,F
136,Buyer_136,user136@example.com,916906000000,India,2021-01-06 15:00:00,Yes,F
137,Buyer_137,user137@example.com,919922000000,Canada,2021-01-06 16:00:00,No,M
138,Buyer_138,user138@example.com,918436000000,Canada,2021-01-06 17:00:00,No,F
139,Buyer_139,user139@example.com,919764000000,India,2021-01-06 18:00:00,No,F
140,Buyer_140,user140@example.com,919083000000,Canada,2021-01-06 19:00:00,No,M
141,Buyer_141,user141@example.com,917352000000,USA,2021-01-06 20:00:00,No,F
142,Buyer_142,user142@example.com,916913000000,Germany,2021-01-06 21:00:00,No,F
143,Buyer_143,user143@example.com,918815000000,Germany,2021-01-06 22:00:00,No,F
144,Buyer_144,user144@example.com,918144000000,UK,2021-01-06 23:00:00,No,M
145,Buyer_145,user145@example.com,917699000000,USA,2021-01-07 00:00:00,No,M
146,Buyer_146,user146@example.com,919800000000,Canada,2021-01-07 01:00:00,No,M
147,Buyer_147,user147@example.com,919928000000,India,2021-01-07 02:00:00,No,F
148,Buyer_148,user148@example.com,918761000000,India,2021-01-07 03:00:00,Yes,M
149,Buyer_149,user149@example.com,917971000000,Canada,2021-01-07 04:00:00,Yes,M
150,Buyer_150,user150@example.com,916614000000,UK,2021-01-07 05:00:00,Yes,F
151,Buyer_151,user151@example.com,917138000000,India,2021-01-07 06:00:00,No,M
152,Buyer_152,user152@example.com,916600000000,Canada,2021-01-07 07:00:00,No,M
153,Buyer_153,user153@example.com,917059000000,Canada,2021-01-07 08:00:00,No,M
154,Buyer_154,user154@example.com,919200000000,USA,2021-01-07 09:00:00,No,M
155,Buyer_155,user155@example.com,918411000000,India,2021-01-07 10:00:00,Yes,F
156,Buyer_156,user156@example.com,918315000000,UK,2021-01-07 11:00:00,Yes,M
157,Buyer_157,user157@example.com,917128000000,India,2021-01-07 12:00:00,No,M
158,Buyer_158,user158@example.com,919208000000,UK,2021-01-07 13:00:00,No,M
159,Buyer_159,user159@example.com,918511000000,Canada,2021-01-07 14:00:00,No,M
160,Buyer_160,user160@example.com,917840000000,USA,2021-01-07 15:00:00,Yes,F
161,Buyer_161,user161@example.com,919856000000,India,2021-01-07 16:00:00,Yes,M
162,Buyer_162,user162@example.com,918506000000,Germany,2021-01-07 17:00:00,Yes,M
163,Buyer_163,user163@example.com,917715000000,India,2021-01-07 18:00:00,No,M
164,Buyer_164,user164@example.com,917555000000,USA,2021-01-07 19:00:00,No,M
165,Buyer_165,user165@example.com,916942000000,India,2021-01-07 20:00:00,No,F
166,Buyer_166,user166@example.com,916594000000,USA,2021-01-07 21:00:00,No,F
167,Buyer_167,user167@example.com,918188000000,Canada,2021-01-07 22:00:00,Yes,M
168,Buyer_168,user168@example.com,918120000000,India,2021-01-07 23:00:00,No,F
169,Buyer_169,user169@example.com,916390000000,Germany,2021-01-08 00:00:00,No,F
170,Buyer_170,user170@example.com,919246000000,USA,2021-01-08 01:00:00,No,M
171,Buyer_171,user171@example.com,916202000000,USA,2021-01-08 02:00:00,Yes,M
172,Buyer_172,user172@example.com,919698000000,UK,2021-01-08 03:00:00,Yes,M
173,Buyer_173,user173@example.com,916471000000,UK,2021-01-08 04:00:00,No,F
174,Buyer_174,user174@example.com,916656000000,India,2021-01-08 05:00:00,Yes,F
175,Buyer_175,user175@example.com,918695000000,USA,2021-01-08 06:00:00,Yes,F
176,Buyer_176,user176@example.com,916687000000,India,2021-01-08 07:00:00,Yes,M
177,Buyer_177,user177@example.com,919402000000,India,2021-01-08 08:00:00,No,F
178,Buyer_178,user178@example.com,918923000000,Canada,2021-01-08 09:00:00,No,M
179,Buyer_179,user179@example.com,917813000000,UK,2021-01-08 10:00:00,No,M
180,Buyer_180,user180@example.com,918562000000,Germany,2021-01-08 11:00:00,Yes,F
181,Buyer_181,user181@example.com,916273000000,Canada,2021-01-08 12:00:00,No,F
182,Buyer_182,user182@example.com,917653000000,Germany,2021-01-08 13:00:00,No,F
183,Buyer_183,user183@example.com,917639000000,Canada,2021-01-08 14:00:00,No,F
184,Buyer_184,user184@example.com,918559000000,Germany,2021-01-08 15:00:00,Yes,M
185,Buyer_185,user185@example.com,918010000000,USA,2021-01-08 16:00:00,No,F
186,Buyer_186,user186@example.com,918273000000,UK,2021-01-08 17:00:00,No,M
187,Buyer_187,user187@example.com,917080000000,UK,2021-01-08 18:00:00,No,F
188,Buyer_188,user188@example.com,918376000000,Canada,2021-01-08 19:00:00,No,M
189,Buyer_189,user189@example.com,919697000000,UK,2021-01-08 20:00:00,No,F
190,Buyer_190,user190@example.com,916049000000,USA,2021-01-08 21:00:00,Yes,M
191,Buyer_191,user191@example.com,918922000000,India,2021-01-08 22:00:00,Yes,F
192,Buyer_192,user192@example.com,919095000000,USA,2021-01-08 23:00:00,Yes,F
193,Buyer_193,user193@example.com,916492000000,USA,2021-01-09 00:00:00,No,M
194,Buyer_194,user194@example.com,918928000000,Canada,2021-01-09 01:00:00,No,M
195,Buyer_195,user195@example.com,919800000000,Germany,2021-01-09 02:00:00,Yes,M
196,Buyer_196,user196@example.com,918306000000,India,2021-01-09 03:00:00,No,F
197,Buyer_197,user197@example.com,919225000000,Canada,2021-01-09 04:00:00,No,M
198,Buyer_198,user198@example.com,917146000000,UK,2021-01-09 05:00:00,Yes,F
199,Buyer_199,user199@example.com,919301000000,Germany,2021-01-09 06:00:00,No,M
200,Buyer_200,user200@example.com,918753000000,Canada,2021-01-09 07:00:00,No,F
201,Buyer_201,user201@example.com,917461000000,Canada,2021-01-09 08:00:00,No,M
202,Buyer_202,user202@example.com,916479000000,India,2021-01-09 09:00:00,Yes,M
203,Buyer_203,user203@example.com,917261000000,Germany,2021-01-09 10:00:00,No,F
204,Buyer_204,user204@example.com,917867000000,USA,2021-01-09 11:00:00,No,F
205,Buyer_205,user205@example.com,916679000000,Canada,2021-01-09 12:00:00,Yes,M
206,Buyer_206,user206@example.com,917949000000,Canada,2021-01-09 13:00:00,Yes,F
207,Buyer_207,user207@example.com,916014000000,India,2021-01-09 14:00:00,No,M
208,Buyer_208,user208@example.com,919101000000,Canada,2021-01-09 15:00:00,No,F
209,Buyer_209,user209@example.com,919762000000,USA,2021-01-09 16:00:00,No,M
210,Buyer_210,user210@example.com,919091000000,Canada,2021-01-09 17:00:00,Yes,F
211,Buyer_211,user211@example.com,917131000000,Germany,2021-01-09 18:00:00,No,F
212,Buyer_212,user212@example.com,918150000000,USA,2021-01-09 19:00:00,Yes,M
213,Buyer_213,user213@example.com,919273000000,Canada,2021-01-09 20:00:00,No,F
214,Buyer_214,user214@example.com,916767000000,Canada,2021-01-09 21:00:00,No,F
215,Buyer_215,user215@example.com,918180000000,India,2021-01-09 22:00:00,No,M
216,Buyer_216,user216@example.com,919920000000,UK,2021-01-09 23:00:00,No,F
217,Buyer_217,user217@example.com,916457000000,Canada,2021-01-10 00:00:00,Yes,F
218,Buyer_218,user218@example.com,919739000000,Germany,2021-01-10 01:00:00,No,M
219,Buyer_219,user219@example.com,918686000000,Canada,2021-01-10 02:00:00,No,M
220,Buyer_220,user220@example.com,917282000000,India,2021-01-10 03:00:00,Yes,F
